Epoch: 126, Train Loss: 0.0165645070374012, Test Loss: 0.021185841411352158
Epoch: 127, Train Loss: 0.016874264925718307, Test Loss: 0.02107984572649002
Epoch: 128, Train Loss: 0.016160331666469574, Test Loss: 0.021077878773212433
Epoch: 129, Train Loss: 0.016248364001512527, Test Loss: 0.021001413464546204
Epoch: 130, Train Loss: 0.01660468429327011, Test Loss: 0.020913923159241676
Epoch: 131, Train Loss: 0.017115283757448196, Test Loss: 0.020974913612008095
Epoch: 132, Train Loss: 0.016396263614296913, Test Loss: 0.020896065980196
Epoch: 133, Train Loss: 0.016020318493247032, Test Loss: 0.020793111994862556
Epoch: 134, Train Loss: 0.01625642739236355, Test Loss: 0.02083340659737587
Epoch: 135, Train Loss: 0.016007183119654655, Test Loss: 0.020728159695863724
Epoch: 136, Train Loss: 0.01589299365878105, Test Loss: 0.020680606365203857
Epoch: 137, Train Loss: 0.015743862837553024, Test Loss: 0.020622041076421738
Epoch: 138, Train Loss: 0.016732262447476387, Test Loss: 0.020579250529408455
